Keyword;Bed 1
dawdle;"fool [v]: dally; idle; jest; joke; loiter; play; tarry"
dawdler;"bad debtor [n]: derelict; delinquent; felon; criminal; loafer"
dawdling;"wait [n]: hesitation; lag; delay; delaying; loitering; procrastination; stay"
day;"duration [n]: epoch; period; era; date; term; course; spell"
daybreak;"dawn [n]: light; daylight; dawning; opening; morning; sunrise"
daydream;"fantasy [n]: fancy; imagination; dream; nightmare"
daylight;"dawn [n]: daybreak; light; illumination; radiance"
dazed;"amazed [a]: vacant; astonished; muddled; perplexed; bewildered; blank; confused"
dazzle;"glare [v]: gleam; shine"
dazzling;"radiant [a]: heavenly; divine; wonderful; beautiful; brilliant; resplendent; angelic"
dead end;"blind [n]: closed; obstructed; blocked; shut off"
damn with faint praise;"find fault with [v]: rebuff; reject"
damp;"thing [n]: moisture; dampness; dankness; fog; humidity; steam; vapour; wet"
dampen;"discourage [v]: inhibit; dismay; restrain; dispirit; depress; humble; bridle"
damsel;"lady [n]: maid; maiden; woman; girl; nymph"
dance;"music [n]: ball; prom; promenade; ballet"
danger;"probability [n]: possibility; exigency"
dangerous;"menacing [a]: critical; unsafe; serious; impending; ugly; nasty; terrible"
dangerously;seriously [o]: severely
dare;"challenge [v]: brave; meet; confront; defy; oppose; scorn; resist"
daring;"bold [a]: defiant; adventurous; hardy; audacious; stalwart; brave; doughty"
dark;"property [a]: unlit; dirty; black; cimmerian; dun; dim; dusk"
darkness;"ignorance [n]: coarseness; vulgarity"
darling;"beloved [n]: sweetheart; dear; favourite; lover; friend; love"
dart;"shoot [v]: flit; bolt; speed; dash; plunge; fly; launch"
dash;"quality [n]: flourish; show; elan; splendour; spirit; vigour"
dashing;"fearless [a]: bold; lively; brave; daring; spirited; adventurous"
date;"duration [n]: epoch; period; era; day; term; course; spell"
daunt;"frustrate [v]: discourage; dishearten; dispirit; thwart"
dawn;"beginning [n]: start; source; commencement; fountainhead; origin"
daze;"confuse [v]: stun; amaze; stupefy; perplex; dazzle; puzzle; confound"
deacon;"church officer [n]: cleric; elder; minister"
dead;"property [a]: deceased; late; expired; asleep; defunct; departed"
deaden;"muffle [v]: mute; cushion; dim; tone down"
deadly;"murderous [a]: noisome; bloodthirsty; noxious; implacable; pernicious; virulent; sanguinary"
deaf;"character trait [a]: obstinate; stubborn; unaware; blind"
deafening;"extremely loud [a]: thunderous; overpowering; shrieking"
deal;"amount [n]: plethora; degree; abundance; extent; quantity"
dealer;"play [n]: banker; player"
dealings;"transactions [n]: business; handling; sale; trade"
dean;ecclesiastic official [n]: minister
dear;"costly [a]: rich; prized; valuable; exorbitant; expensive; high; uneconomical"
death;"event [n]: demise; doom; rest; decease; dying; curtains; fate; expiration"
deathless;"eternal [a]: undying; everlasting; immortal; enduring; constant"
debar;"hinder [v]: suspend; restrict; interdict; deny; outlaw; prevent; prohibit"
debase;"humiliate [v]: disgrace; abase; humble; degrade; demean; depress; deteriorate"
debate;"matter [n]: deliberation; consideration"
debauchee;"sensualist [n]: rake; carouser; rascal"
debauchery;"desire [n]: lasciviousness; lust; lechery"
debonair;"nonchalant [a]: suave; urbane; detached; sophisticated; indifferent; charming; unconcerned"
debt;"finance [n]: liability; debit; score; arrears; due; deficit; arrearage; duty"
debut;"coming out [n]: entree; presentation; admission"
decapitate;"cut off one's head [v]: behead; guillotine; execute; truncate"
decay;"rot [n]: waste; decomposition; adulteration; break down; putrefaction; breakup; corrupt"
disinclination;"aversion [n]: dissatisfaction; antagonism; disfavour; antipathy; dislike; disgust; disrelish"
disinclined;"averse [a]: hostile; unwilling; reluctant; loath; opposed; inimical; indisposed"
disinfect;"purify [v]: refine; decontaminate; clean; process; purge; filter; strain"
disinfectant;"bacteria killing drug [n]: antitoxin; medicine; antibiotic"
disingenuous;"deceitful [a]: villainous; false; treasonable; disloyal; malicious; faithless; hypocritical"
disinherit;"deprive [v]: dispossess; divest; rob; lose; oust"
disintegrate;"dissipate [v]: spread; dispel; diffuse; disperse; disseminate; scatter"
disintegration;"breakdown [n]: downfall; collapse; destruction; crash; failure; fall; smash"
disinterested;"impartial [a]: detached; unbiased; nonchalant; dispassionate; neutral; impersonal"
dislodge;"transfer [v]: carry; discharge; remove; excavate; displace; replace; transport"
disloyal;"faithless [a]: deceitful; false; fickle; inconstant; perfidious; treacherous"
dismantle;"abandon [v]: shelve; set aside; discard; give up; disuse; idle"
decipher;"solve [v]: clear up; figure out; unfold; unravel; unearth; resolve"
decisive;"demonstrative [a]: specific; convincing"
declaim;"speak [v]: mouth; orate; harangue; rant; rave; soap-box"
declination;"deviation [n]: variance; departure"
declining;"dying [a]: disappearing; disintegrating; decaying; ebbing; fading; vanishing"
declivity;"slope [n]: declination; slide; dip; decline; drop; descent; fall"
decoction;"distillate [n]: essence; extract; distillation; solution; infusion"
decode;"decipher [v]: work out; do; solve"
decomposition;"decay [n]: rot; putrefaction; mould; corruption"
decontaminate;"purify [v]: refine; clean; disinfect; process; purge; filter; strain"
decorate;"dress [v]: adorn; ornament; trim"
decorative;"aesthetic [a]: lovely; poetic; elegant; creative; beautiful; artistic; musical"
decorous;"seemly [a]: honest; chaste; conformant; pure; respectable; maidenly; decent"
decorum;"observing customs [n]: ceremony; conventionality; correctness; etiquette; protocol; behaviour; formality"
decreasing;"less and less [n]: shrinking; declining; lessening; diminishing; abating; reducing; dwindling"
decry;"blame [v]: censure; rebuke; castigate; inculpate; chide; berate; upbraid"
dedicated;"divine [a]: sacred; sanctified; blessed; glorified"
deduce;"reach a conclusion [v]: conclude; infer; gather; reason; assume; presume; judge"
deduct;"subtract [v]: take; reduce"
deem;"estimate [v]: think; assess; consider; count; account; hold; judge"
deepness;"depth [n]: pitch; drop; bottom"
deep-rooted;"intrinsic [a]: innate; inner; ingrained; inherent; intimate; deep-seated; inmost"
deceit;"trick [n]: artifice; sham; chicane; chicanery; device; stratagem"
deceitful;"deceptive [a]: plausible; counterfeit; rotten; sharp; fallacious; spurious; fraudulent"
decent;"character trait [a]: seemly; honest; chaste; conformant; pure; respectable; maidenly; decorous"
deception;"hoax [n]: artifice; chicane; cheat; chicanery; illusion"
deceptive;"lying [a]: tricky; dishonest"
decided;"determined [a]: destined; settled; decisive; fated; resolute; intent; resolved"
decision;"firmness [n]: determination; resoluteness; resolution; resolve"
deck;"adorn [v]: grace; ornament; trick; array; attire; bedeck"
declamation;"tirade [n]: spouting; ranting; repetition; wordiness; hot air"
declamatory;"pompous [a]: bombastic; verbose; stuffy; windy; egotistic"
declaration;"formal statement [n]: statement; affirmation; confirmation; manifesto; proclamation; profession; attestation"
declare;"announce [v]: swear; expound; proclaim; pronounce"
decline;"decrease [n]: decay; dissolution; degradation; degeneration; ebb; deterioration; failure"
decompose;"decay [v]: crumble; mould; break up; putrefy; rot"
decor;"decoration [n]: adornment; embellishment; ornamentation"
decorated;"adorned [a]: ornamented; embellished; bedecked; garnished; trimmed; coloured"
decoration;"item used to decorate [n]: ribbon; tooling; tinsel; braid; festoon; colour; spangle"
decoration day;memorial day [n]: holiday
decoy;"lure [n]: bait; fake"
decrease;"decline [v]: lower; abate; bate; reduce; contract; drain; shrivel"
decree;"edict [n]: pronouncement; proclamation; declaration; mandate; judgment; ruling; order"
decrepitude;"infirmity [n]: senility; weakness; feebleness"
dedicate;"set aside [v]: devote; assign; allot; apportion; donate; give"
dedication;"loyalty [n]: commitment; devotion; allegiance; love"
deduction;"conclusion [n]: result; answer; inference"
deed;"document [n]: agreement; charter; paper; record; instrument; lease; voucher"
deep;"property [a]: serious; grave; grievous"
deepen;"expand [v]: extend; increase; intensify; develop; grow; exacerbate"
deer;"animal [n]: hind; doe; buck; fawn; stag"
defacement;"mutilation [n]: damage; vandalism; destruction; injury; contortion; impairment"
defeat;"feeling [n]: bafflement; frustration"
defect;"lack [n]: deficiency; shortage; destitution; scarcity; want"
defection;"desertion [n]: apostasy; withdrawal; abandonment; falseness; tergiversation"
defend;"action [v]: support; apologise; apologize; assert; exonerate; espouse; back; justify; advocate"
defence;"fortification [n]: trench; bulwark; palisade; dike; stockade; fort"
defensible;"justifiable [a]: permissible; proper; fit; logical"
defer;"yield [v]: obey; submit; accede; concede; comply"
deference;"obedience [n]: submission; docility; compliance; condescension"
deferred;"paid in instalments [a]: charged; partial; indebted; on credit; funded"
defiance;"revolt [n]: contempt; opposition; rebellion; insubordination; despite; insurgence"
defile;"violate [v]: molest; ravish; rape; hurt"
define;"activity [v]: render precisely; determine; characterise; characterize; ascertain; elucidate; entitle; illustrate; interpret"
definite;"certain [a]: emphatic; decided; explicit; guaranteed; clear; positive; express"
definition;"delineation [n]: demarcation; determination; outlining; surveying; circumscription"
definitive;"decisive [a]: conclusive; ultimate; absolute; definite; final; explicit; plain"
deflate;"discourage [v]: dishearten; dampen; depress; daunt"
deformity;"depravity [n]: irregularity; corruption"
defy;"oppose [v]: face; resist; withstand"
degeneracy;"abasement [n]: debasement; meanness; inferiority; wickedness; inability"
degenerate;"worsen [v]: decay; lessen; decrease; fall off"
degrade;"humiliate [v]: humble; abase; debase; deteriorate; lower; vitiate; dishonour"
degree;"quantity [n]: proportion; rate; ratio; scale"
delay;"duration [n]: pause; extension; adjournment; demurral; postponement; suspension; deferment; moratorium"
delegate;"appoint [v]: commission; authorise; authorize; deputise; deputize; depute; entrust; name"
deliberate;"cautious [a]: moderate; careful; prudent; sober; circumspect; leisurely; methodical"
deliberation;"discussion [n]: conference; debate; review"
demur;"objection [n]: hesitation; challenge; demurral; refusal"
demure;"modest [a]: staid; coy; decorous; sedate; serious; sober"
den;"recreation room [n]: study; library; living room; retreat"
denial;"contradiction [n]: disavowal; refutation; negation; rejection"
denizen;"inhabitant [n]: dweller; native; occupant; resident; citizen"
denomination;"label [n]: name; association; title; identification"
denounce;"accuse [v]: charge; give away; indict; inform against; arraign"
dense;"character trait [a]: stupid; dull; half-witted; ignorant; imbecilic; moronic"
density;electrical charge [n]: current
dent;"hollow [v]: depress; dimple; gouge; notch"
denunciation;"disapproval [n]: rebuke; condemnation; castigation; criticism; reproach; gossiping"
deny;"speech [v]: reject; abjure; disavow; renounce"
depart;"direction [v]: diverge; swerve; deviate; turn aside; vary"
departed;"left [a]: forsaken; gone; withdrawn; moved; disappeared"
department;"subdivision [n]: division; bureau; office; section; ward; constituency"
department store;retail outlet [n]
departure;"deviation [n]: variance; declination"
dependence;"contingency [n]: sequence; connection; interdependence; relationship"
dependent;"inferior [a]: secondary; lesser"
depend on;be contingent on [v]
depletion;"reduction [n]: exhaustion; deficiency; consumption; emptiness"
deposit;"coating [n]: lode; vein"
deposition;"discharge [n]: displacement; removal; degradation"
depository;"repository [n]: bunker; cache; depot"
depot;"storehouse [n]: depository; annex; warehouse; arsenal; magazine; repository"
deprecate;"deplore [v]: censure; condemn; object; expostulate; disparage; regret"
difficulty;"problem [n]: trial; pitfall; trouble"
diffuse;"rambling [a]: wordy; verbose; dull; prolix"
dig;"activity [v]: unearth; dig out; excavate; discover; scoop; exhume; shovel; spade"
digest;"consider [v]: assimilate; analyse; contemplate; ponder; reflect upon; ruminate over; study"
digestible;"good to eat [a]: edible; eatable"
digit;"number [n]: symbol; numeral; bit; byte"
dignity;"importance [n]: honour; rank; status; position; prestige; significance"
dilettante;"amateur [n]: dabbler; novice; trifler; connoisseur"
diligent;"tireless [a]: laborious; unfailing; indefatigable; notable; unrelenting; industrious; patient"
dilute;"thin [v]: cut; light; mix; weaken"
disarm;"demilitarize [v]: demilitarise; neutralise; neutralize; subjugate"
disassemble;"dismantle [v]: tear down; knock down; strike; dismount; dismember"
disbeliever;"sceptic [n]: doubter; critic; agnostic; questioner"
disbursement;"expenditure [n]: expense; allocation; payment"
discarded;"rejected [a]: cast off; abandoned; forsaken; done with; dismissed"
discern;"determine [v]: penetrate; differentiate; discriminate; find out; distinguish; judge"
discharge;"emission [n]: flow; ejection; remission; evacuation; expulsion; removal"
discharged;"fulfilled [a]: accomplished; performed; achieved; done"
disciple;apostle [n]: witness
discipline;"punishment [n]: castigation; chastisement; correction"
disclose;"uncover [v]: open; bring to light; unveil; expose; lay open; muck-rake"
dislocate;"disjoint [v]: separate; disconnect; disunite; divide; disengage"
disloyalty;"unfaithfulness [n]: falsity; betrayal; infidelity; disaffection; apostasy"
dismal;"sorrowful [a]: sad; depressed; dispirited; miserable; disconsolate; unhappy; unfortunate"
dismay;"frighten [v]: dispirit; alarm; appall; shake; daunt; disconcert"
dismiss;"reject [v]: expel; eject; discard; banish; decline; repel; disband"
dismissal;"discharge [n]: deposition; expulsion; removal; displacement"
dismount;"get off [v]: descend; get down; deplane; alight; disembark"
dissemble;"disguise [v]: conceal; camouflage; mask; cover; hide; shroud; cloak"
dissembler;"impostor [n]: deceiver; fake; quack; pretender; charlatan"
dissent;"disagree [v]: oppose; differ; contradict; rebel; refuse"
dissenter;"objector [n]: disputant; heretic; nonconformist; rebel; demonstrator; radical"
dissipate;"waste [v]: lavish; squander; use up; fritter away; misuse"
dissipated;"wasted [a]: squandered; consumed; used up; spent; destroyed; depleted; empty"
dissipation;"debauchery [n]: dissolution; intemperance; indulgence; evil"
dissociate;"disband [v]: disperse; scatter; disrupt; break up; quit"
dissolution;"termination [n]: adjournment; end; ending; dismissal; death"
dissolve;"adjourn [v]: discontinue; break up; postpone; dismiss; disperse; disunite; free"
dive;"place [n]: bar; night club; café; cabaret; coffee shop; beer garden"
diverge;"differ [v]: contrast; deviate; dissent; disapprove; disagree; argue; vary"
divergence;"difference [n]: deviation; aberration; anomaly; mutation; alteration"
diverse;"various [a]: divergent; manifold; assorted; multiform; distinct; variant"
diversify;"expand [v]: vary; increase; alter; change"
diversion;"entertainment [n]: amusement; play; recreation; distraction; sport"
divert;"distract [v]: draw away; turn aside"
divest;"deprive [v]: dispossess; strip"
divide;"allocation [v]: distribute; parcel; apportion; deal; wall; deal out; dole; partition"
divine;"clergyman [a]: priest; ecclesiastic; parson; theologian"
diviner;"seer [n]: prophet; magician; sorcerer; witch; sorceress"
division;"boundary [n]: rank; demarcation; mark; partition"
divorce;"release from matrimony [v]: annul; separate; split up; cancel; nullify"
dizzy;"giddy [a]: bemused; light; hazy; faint; light-headed; vertiginous"
do;"activity [v]: perform; play; act; render; practice"
dock;"clip [v]: prune; crop; shorten; trim; cut; shear"
doctor;medicine [n]: physician
dodge;"evade [v]: sidestep; avoid; duck; elude; fence; equivocate"
dog;"activity [v]: pursue; hound; track"
dogmatic;"dictatorial [a]: bigoted; egotistical; stubborn; opinionated; overbearing; arrogant; tyrannical"
dole out;"dispense [v]: mete; share; distribute; parcel; assign"
domestic;"native [a]: home; indigenous; inland; internal; municipal"
dominant;advantageous [a]: commanding
dominion;"government [n]: administration; control; management; jurisdiction; domination"
don;"assume [v]: pull; put on; strike; take on"
done;"fully cooked [a]: cooked; baked; fried; boiled"
done in;"tired [a]: bushed; weary; exhausted; worn out"
done out of;"defrauded [a]: cheated; deceived"
done up;"wrapped [a]: prepared; executed; packaged; finished"
donkey;"person [n]: dolt; ass; booby"
doom;"fate [n]: destiny; kismet; portion; fortune; lot"
dope;"information [n]: scoop; account; details; knowledge"
dormant;"latent [a]: passive; inert; inoperative; potential; quiescent"
dose;venereal disease [n]: disease
dotage;"senility [n]: feebleness; imbecility"
dote;"love [v]: adore; admire; pet; pamper; dwell on; coddle; indulge"
double;"quantity [a]: twice as much; duplicated; paired; second; twofold; two; twin"
double back;"backtrack [v]: return; reverse; loop"
double-dealer;"cheater [n]: cheat; deceiver; rogue; traitor; hypocrite"
double-dealing;"dishonesty [n]: hypocrisy; trickery; deceit; mendacity"
double meaning;"play on words [n]: ambiguity; pun; joke; innuendo"
double up;"combine [v]: join; share; pair off; unite"
doubt;"feeling [n]: hesitancy; scepticism; scruple; perplexity; suspense; dilemma; demurral; quandary"
doubter;"unbeliever [n]: questioner; sceptic; agnostic; cynic"
doubtful;"indecisive [a]: incredulous; dubious; obscure; enigmatic; problematic; puzzled; undetermined"
douse;"extinguish [v]: snuff out; splash"
dove;"activist for peace [n]: pacifist; peacemaker; pacificator; pacifier; conciliator"
dryness;"lack of moisture [n]: drought; aridity; thirst"
dub;"name [v]: christen; call"
dubiety;"doubt [n]: incertitude; indecision; uncertainty; vacillation"
dubious;"ambiguous [a]: uncertain; vague; unsure; equivocal; indefinite; obscure; questionable"
duck;"action [v]: crouch; dodge; escape; stoop"
due;"possession [n]: desert; claim; perquisite; deserving; prerogative; merit"
dulcimer;"stringed instrument [n]: steel guitar; lute; lyre"
dull;"behaviour [a]: listless; flat; apathetic; slow; heavy; inanimate; placid; languid"
dullness;"stupidity [n]: insensibility; numbness"
dumb;"stupid [a]: moronic; doltish"
dumbfounded;"amazed [a]: astonished; puzzled; flabbergasted; surprised; overwhelmed; shocked"
dummy;"mock-up [n]: counterfeit; duplicate; facsimile; imitation; clone"
dump;"action [v]: eject; unload; throw out; empty; discharge; fling down"
dun;"colour [a]: brownish; drab; brown; sallow; mousy; dull"
duo;"two people [n]: pair; mates; couple; twosome; dyad"
dupe;"fool [v]: catch; con; gull; hoax; hoodwink; kid; spoof"
duplicate;"alike [a]: same; identical"
duress;"imprisonment [n]: captivity; confinement; detention; bondage; jail; arrest; slavery"
dusky;"clouded [a]: sombre; gloomy; cloudy; dim; murky; obscure"
dust;"activity [v]: sprinkle; sift; powder; scatter; spread; shake"
dusting;"powdering [n]: dust; sprinkling"
drudgery;"moil [n]: labour; toil"
drug addict;"person [n]: addict; junkie; dope fiend; crazy; fanatic"
drugs;"dope [n]: drug; narcotic; stimulant; opiate; cocaine; crack"
drumming;"tapping [n]: patter; pitter-patter; pounding; pulsation"
drunkard;"alcohol addict [n]: alcoholic; heavy drinker; boozer; drunk; dipsomaniac; sot"
drunken;"shameful [a]: debauched; intemperate; inebriated"
dangle;"hang [v]: hook; suspend; attach"
dank;"wet [a]: raw; damp; sodden; humid; soggy; moist"
darken;"dim [v]: cloud; dull; obscure"
darkening;"extinguishing [n]: putting out; extinction"
darn;"repair [v]: mend; restore; fix; renew; reconstruct; patch"
dogma;"creed [n]: notion; tenet; thought; view; doctrine; idea; opinion"
doing;"deed [n]: exercise; act; accomplishment; feat; manoeuvre; action"
dole;"financial assistance [n]: assistance; handout; welfare; aid; backing; subsidy; charity"
doleful;"sombre [a]: dismal; gloomy; sad; mournful; dark; dreary; oppressive"
dolt;"fool [n]: dummy; blockhead; idiot; oaf; moron"
doltish;"stupid [a]: moronic; dumb"
domain;"field [n]: margin; area; scope; sphere; range; operation"
dome;"arch [n]: vault; arcade; ceiling; roof"
domesticate;"tame [v]: train; master; break; subdue"
domesticated;"tame [a]: trained; docile; harmless; submissive; mild; gentle"
domicile;"habitation [n]: abode; home; house; household; residence; habitat; quarters"
dauntless;"courageous [a]: bold; daring; adventurous; brave; audacious; fearless; intrepid"
discernment;"discrimination [n]: taste; cultivation; distinction; perception; judgment; refinement; sense"
disciplined;"trite [a]: hackneyed; humdrum; conventional"
disclaim;"disown [v]: deny; disallow; refuse; keep back; repudiate; withhold"
discolour;tarnish [v]: dull
discommode;"inconvenience [v]: bother; disoblige"
disconcert;"jar [v]: embarrass; shock; distress; trouble; upset; disturb; shake up"
disconnect;"split [v]: divide; detach; sever; disjoin; separate; undo; disengage"
discontinuance;"disuse [n]: abolition; discarding; abrogation; interruption"
discontinuity;"respite [n]: stay; recess; intermission; break; hiatus; interruption; suspension"
discord;"antagonism [n]: conflict; strife; friction; dissension; contrariety; opposition; antithesis"
discordant;"conflicting [a]: antagonistic; clashing; contrary; antipathetic"
discount;"abate [v]: allow; bate; deduct; rebate; remit; subtract"
discouraged;"very hurt [a]: depressed; shattered; devastated; sad; broken hearted; troubled"
discouraging;"depressing [a]: bleak; chill; dreary"
discourteous;"curt [a]: abrupt; short; blunt; brusque; uncivil; gruff; plain-spoken"
discourtesy;"disrespect [n]: impudence; rudeness; irreverence; profanity; impertinence"
discovered;"found [a]: met; detected; rescued"
discredit;"jeopardise [v]: jeopardize; imperil; endanger; compromise; hazard; yield; risk"
discreet;"wise [a]: judicious; politic; expedient; prudent"
discrepancy;"disagreement [n]: inconsistency; difference; dissimilarity; disparity"
dynamism;"activity [n]: nerve; verve; animation; hardihood; dash; energy"
disburden;"unpack [v]: empty; discharge; issue; relieve; unburden; unload"
disconcerted;"confused [a]: bewildered; doubtful; confounded; nonplussed; mystified; baffled; dumfounded"
discontinued;"dropped [a]: abandoned; forsaken; released; expelled; diminished"
disk;"shape [n]: ring; round; circle; hoop; circuit; circumference; perimeter; periphery"
dismember;"divide [v]: cut up; section; split up; cleave; sever; quarter"
disparity;"difference [n]: comparison; contrast; opposition; divergence; dissimilarity; disagreement"
displeasing;"unfavourable [a]: adverse; bad; unfortunate; wretched; unlucky; regretful; unhappy"
disputant;"enemy [n]: rivalry; adversary; opposition; antagonist; opponent; competition; foe"
disputed;"of doubtful authenticity [a]: apocryphal; doubtful; false; fraudulent; fake; fictitious"
dissemination;"publication [n]: circulation; air; disclosure; publicity"
distend;"protrude [v]: swell; stick out; bulge; puff out; bloat; balloon; jut"
distended;"bulky [a]: massive; hefty; fat; swollen; big; heavy; capacious"
disobedient;"naughty [a]: bad; mischievous"
disobey;"disregard [v]: pass; skip; ignore; neglect; overlook"
disordered;"confused [a]: mixed; jumbled"
disorganisation;"clutter [n]: confusion; derangement; disarrangement; disarray; irregularity; disorder; disorganization"
disorganised;"upset [a]: confused; disordered; agitated; distressed; disturbed; disorganized"
disorganization;"clutter [n]: confusion; derangement; disarrangement; disarray; irregularity; disorganisation; disorder"
disorganized;"upset [a]: confused; disordered; agitated; distressed; disorganised; disturbed"
disown;"deny [v]: disclaim; disallow; refuse; keep back; repudiate; withhold"
disparage;"malign [v]: slander; damage; calumniate"
disparaging;"dim [a]: adverse; depreciating; critical; scornful"
disparate;"miscellaneous [a]: odd; divers; different; manifold; dissimilar; distant; various"
dispel;"disperse [v]: destroy; remove"
dispersal;"dispersion [n]: dissipation; diffusion; dissemination; distribution; scattering; disintegration"
dispersed;"diffuse [a]: diluted; widely separated; scattered; sparse"
dispersion;"destruction [n]: defeat; demolition; overthrow; rout; ruin"
dispirited;"down [a]: blue; dejected; depressed; discouraged; disheartened"
displacement;"discharge [n]: deposition; removal; degradation"
displease;"irritate [v]: annoy; anger; chafe; outrage; offend; nettle; vex"
displeasure;"anger [n]: outrage; umbrage; offence; indignation; ire; resentment; unpleasantness"
dispose;"arrange [v]: adjust; furnish; order; establish; marshal; conduct; space"
disposed;"inclined [a]: prone; apt; likely; tending; given; liable; probable"
dispossess;"deprive [v]: bankrupt; strip; withhold; divest; dismantle; bare; denude"
disproportionate;"uneven [a]: irregular; jagged; rough; unequal; unsymmetrical; asymmetric"
disprove;"invalidate [v]: refute; dispute; deny; contradict; belie; counter; discredit"
disturbing;"agonizing [a]: depressing; distressing; painful; excruciating; tormenting; saddening"
disunity;"discord [n]: hostility; argument; antagonism; strife; friction; disharmony; conflict"
disused;"outworn [a]: neglected; unused; past; old-fashioned"
dominance;"advantage [n]: prevalence; superiority; supremacy; leverage; precedence"
dominate;"command [v]: overlook; tower above; eclipse"
domination;"mastery [n]: authority; ascendancy; head; dominion; control; power; command"
domineering;"assertive [a]: aggressive; determined; dynamic; energetic; enterprising; forward"
donate;"contribute [v]: add; pitch in; present; give; endow; kick in"
donation;"contribution [n]: collection; charity; relief; offering; alms; dole"
disagreeing;"conflicting [a]: contrasting; resisting; facing; clashing; confronting; opposing"
disallow;"annul [v]: abate; nullify; remove; repress; suppress; suspend; omit"
disappear;"fade [v]: dissolve; disperse; pass away; evaporate; vanish"
disappearing;"declining [a]: dying; disintegrating; decaying; ebbing; fading; vanishing"
disappoint;"fail [v]: deceive; displease"
disappointed;"discontented [a]: disgruntled; annoyed; displeased; irritated; disturbed; irritable"
disapprobation;"disapproval [n]: condemnation; admonition; reflection; censure; remonstrance; criticism; animadversion"
disapprove;"object [v]: resist; oppose; debate; dispute; argue; contradict; protest; dislike"
dilatory;"tardy [a]: delayed; belated; slow; late; behind"
dilemma;"fix [n]: jam; pickle; plight; predicament; spot"
diligence;"persistence [n]: application; industry; attention; assiduity; effort; devotion; study"
dimension;"proportions [n]: range; confines; size; scope"
diminish;"abate [v]: decrease; lessen; dwindle; ease; lighten; shrink; fade"
diminished;"discontinued [a]: abandoned; forsaken; released; expelled; dropped"
diminishing;"decreasing [a]: shrinking; declining; lessening; less and less; abating; reducing; dwindling"
diminution;"lessening [n]: alleviation; decrease; abatement; mitigation; slackening"
dimness;"blackness [n]: darkness; gloom; dark; dusk; night; nightfall; twilight"
dimple;"indentation [n]: impression; dent; depression; concavity; dip; pit; trough"
din;"noise [n]: uproar; racket; clamour; hubbub; hullabaloo; tumult; hue and cry"
didactic;"pointed [a]: pithy; sententious; terse; succinct; laconic; concise; obvious"
diesel;"motor fuel [n]: petroleum; propellant; petrol"
differentiation;"division [n]: distinction; separation; demarcation; split"
differently;"otherwise [o]: oppositely; alternatively"
diffident;"retiring [a]: timid; shy; bashful; backward; hesitant; wavering; loath"
diffusion;"spread [n]: expansion; extension; radiation"
digestion;"assimilation [n]: absorption; osmosis; inhalation; transformation"
dig in;"ingrain [v]: embed; entrench; fix; infix; lodge; root"
digitise;"read with a scanner [v]: feed in; input; append; record; scan; digitize; enter; perform data entry"
ditty;"catchy tune [n]: jingle; carol; chorus; sales pitch; tune; melody"
divan;"couch [n]: sofa; lounge; settee; furniture"
divergent;"unlike [a]: distinct; altered; opposite; changed; special; contrary; different"
diversity;"variety [n]: innovation; difference; variance; change; shifting; vicissitude; vicissitudes"
divided;"to pieces [a]: in two; asunder; in pieces; apart; split"
dividend;"gain [n]: earnings; return; lucre; profit; proceeds; returns; revenue"
divination;"prediction [n]: omen; premonition; foreshadowing; foreboding; portent; presage; sign"
divining;"oracular [a]: discovering; finding; anticipating; apprehending"
divinity;"eternal life [n]: afterlife; immortality; god"
divulge;"bare [v]: publish; disclose; reveal; confess"
do away with;"get rid of [v]: exterminate; abolish; exclude; cancel; stamp; eliminate; expel"
docile;"domesticated [a]: trained; tame; harmless; submissive; mild; gentle"
docility;"meekness [n]: gentleness; complaisance; pliability; pliancy; obedience; tractability"
docking;"arriving [a]: nearing; progressing; coming; advancing; upcoming"
Doctor of Medicine;doctor [n]: physician
doctrinaire;"dogmatist [n]: zealot; monomaniac; diehard; bigot; enthusiast"
doctrinal;"conventional [a]: orthodox; conservative; traditional; conformist; old guard"
doctrine;"belief [n]: faith; principle; system; opinion; tenet"
document;"licence [n]: permit; certificate; warrant; grant"
documentation;"corroboration [n]: evidence; proof; confirmation; support; verification"
documents;"any printed matter [n]: information; questionnaire; check; circular; enclosure; money; copy"
doddering;"rickety [a]: crazy; loose; shaky; tottering"
doe;"animal [n]: hind; deer; buck; fawn; stag"
dogged;"obstinate [a]: perverse; obdurate; headstrong; intractable; persistent; pigheaded; stubborn"
decide;"action [v]: determine; conclude; resolve; settle"
disembowel;"hollow out [v]: excise; dig; cut; excavate; eviscerate"
disengage;"loose [v]: release; unfasten; loosen; free; undo; set free; liberate"
disengaged;"uninvolved [a]: non-combatant; nonpartisan; inactive; neutral; inert"
disentangle;"extricate [v]: clear; free; disencumber; disengage; remove obstructions; vacate; cut away"
disfavour;"lower [v]: foul; defile; debase; depress; shame; defame; smirch"
disfigure;"ruin [v]: damage; demolish; destroy; spoil; wreck; harm; impair"
disfigured;"deformed [a]: distorted; askew; contorted; awry; gnarled; crooked"
disfigurement;"distortion [n]: deformity; malformation; ugliness"
disgraceful;"infamous [a]: opprobrious; defaming; dishonourable; disreputable; scandalous; hateful"
disguised;"sheltered [a]: protected; hidden; topped; surfaced; covered"
disgusting;"foul [a]: fetid; gross; loathsome; noisome; offensive; putrid; repellent"
dish;"thing [n]: basin; bowl; saucer; urn; vessel"
